date,count,uniques
2026-03-18,17,14
2026-03-19,0,0
2026-03-20,1,1
2026-03-21,0,0
2026-03-22,0,0
2026-03-23,0,0
2026-03-24,1,1
2026-03-25,1,1
2026-03-26,0,0
2026-03-27,2,2
2026-03-28,2,2
2026-03-29,1,1
2026-03-30,1,1
2026-03-31,2,2
2026-04-01,2,2
2026-04-02,0,0
2026-04-03,1,1
2026-04-04,1,1
2026-04-05,1,1
2026-04-06,1,1
2026-04-07,6,6
2026-04-08,3,3
2026-04-09,1,1
2026-04-10,3,3
2026-04-11,2,2
2026-04-12,1,1
2026-04-13,10,7
2026-04-14,2,2
2026-04-15,0,0
2026-04-16,2,2
2026-04-17,1,1
2026-04-18,2,2
2026-04-19,0,0
2026-04-20,0,0
2026-04-21,0,0
2026-04-22,32,8
2026-04-23,8,7
2026-04-24,4,4
2026-04-26,1,1
2026-04-27,1,1
2026-04-29,2,2
2026-04-30,2,2
2026-05-01,10,7
2026-05-02,1,1
2026-05-03,2,2
2026-05-04,2,2
2026-05-05,0,0
2026-05-06,0,0
2026-05-07,1,1
2026-05-08,0,0
2026-05-09,0,0
2026-05-10,0,0
2026-05-11,0,0
2026-05-12,11,8
2026-05-13,0,0
2026-05-14,5,5
2026-05-15,5,5
2026-05-16,2,2
2026-05-17,0,0
2026-05-18,1,1
2026-05-19,0,0
2026-05-20,0,0
2026-05-21,8,2
2026-05-22,0,0
2026-05-23,1,1
2026-05-24,0,0
2026-05-25,1,1
2026-05-26,0,0
2026-05-27,0,0
2026-05-28,0,0
2026-05-29,0,0
2026-05-30,0,0
2026-05-31,0,0
2026-06-03,1,1
2026-06-04,3,3
2026-06-05,0,0
2026-06-06,0,0
2026-06-07,0,0
