date,count,uniques
2026-03-18,1,1
2026-03-19,3,3
2026-03-20,1,1
2026-03-21,1,1
2026-03-22,0,0
2026-03-23,1,1
2026-03-24,32,26
2026-03-25,3,3
2026-03-26,2,2
2026-03-27,2,2
2026-03-28,4,4
2026-03-29,4,4
2026-03-30,3,3
2026-03-31,1,1
2026-04-01,4,4
2026-04-02,2,2
2026-04-03,2,2
2026-04-04,1,1
2026-04-05,2,2
2026-04-06,5,3
2026-04-07,2,2
2026-04-08,1,1
2026-04-09,1,1
2026-04-10,4,3
2026-04-11,3,2
2026-04-12,1,1
2026-04-13,1,1
2026-04-14,2,2
2026-04-15,1,1
2026-04-16,0,0
2026-04-17,0,0
2026-04-18,2,2
2026-04-19,0,0
2026-04-20,4,4
2026-04-21,0,0
2026-04-22,1,1
2026-04-23,3,2
2026-04-24,5,4
2026-04-26,1,1
2026-04-27,0,0
2026-04-29,3,3
2026-04-30,1,1
2026-05-01,3,3
2026-05-02,1,1
2026-05-03,1,1
2026-05-04,1,1
2026-05-05,2,2
2026-05-06,1,1
2026-05-07,3,3
2026-05-08,0,0
2026-05-09,2,2
2026-05-10,2,2
2026-05-11,0,0
2026-05-12,0,0
2026-05-13,0,0
2026-05-14,1,1
2026-05-15,0,0
2026-05-16,0,0
2026-05-17,0,0
2026-05-18,3,2
2026-05-19,0,0
2026-05-20,3,2
2026-05-21,3,3
2026-05-22,0,0
2026-05-23,0,0
2026-05-24,1,1
2026-05-25,0,0
2026-05-26,3,3
2026-05-27,1,1
2026-05-28,1,1
2026-05-29,1,1
2026-05-30,0,0
2026-05-31,1,1
2026-06-03,0,0
2026-06-04,2,2
