date,count,uniques
2026-03-18,0,0
2026-03-19,1,1
2026-03-20,0,0
2026-03-21,0,0
2026-03-22,0,0
2026-03-23,0,0
2026-03-24,1,1
2026-03-25,0,0
2026-03-26,1,1
2026-03-27,0,0
2026-03-28,0,0
2026-03-29,1,1
2026-03-30,1,1
2026-03-31,0,0
2026-04-01,1,1
2026-04-02,0,0
2026-04-03,0,0
2026-04-04,0,0
2026-04-05,0,0
2026-04-06,0,0
2026-04-07,1,1
2026-04-08,1,1
2026-04-09,0,0
2026-04-10,0,0
2026-04-11,0,0
2026-04-12,0,0
2026-04-13,1,1
2026-04-14,1,1
2026-04-15,1,1
2026-04-16,0,0
2026-04-17,0,0
2026-04-18,1,1
2026-04-19,0,0
2026-04-20,0,0
2026-04-21,0,0
2026-04-22,0,0
2026-04-23,0,0
2026-04-24,1,1
2026-04-26,0,0
2026-04-27,0,0
