date,count,uniques
2026-04-06,0,0
2026-04-07,99,67
2026-04-08,52,40
2026-04-09,19,17
2026-04-10,13,12
2026-04-11,2,2
2026-04-12,0,0
2026-04-13,8,5
2026-04-14,7,7
2026-04-15,4,4
2026-04-16,5,5
2026-04-17,13,10
2026-04-18,3,3
2026-04-19,2,2
2026-04-20,5,5
2026-04-21,6,2
2026-04-22,4,4
2026-04-23,21,8
2026-04-24,5,5
2026-04-26,3,3
2026-04-27,4,3
2026-04-29,6,5
2026-04-30,2,2
2026-05-01,21,9
2026-05-02,3,3
2026-05-03,3,3
2026-05-04,4,4
2026-05-05,3,3
2026-05-06,4,3
2026-05-07,3,3
2026-05-08,0,0
2026-05-09,1,1
2026-05-10,5,3
2026-05-11,4,4
2026-05-12,2,2
2026-05-13,5,3
2026-05-14,0,0
2026-05-15,2,2
2026-05-16,1,1
2026-05-17,2,2
2026-05-18,5,5
2026-05-19,3,3
2026-05-20,4,4
2026-05-21,6,5
2026-05-22,1,1
2026-05-23,1,1
2026-05-24,4,4
2026-05-25,2,2
2026-05-26,2,2
2026-05-27,2,2
2026-05-28,2,1
2026-05-29,2,2
2026-05-30,1,1
