date,count,uniques
2026-04-26,76,42
2026-04-27,16,7
2026-04-29,15,11
2026-04-30,19,10
2026-05-01,15,10
2026-05-02,13,9
2026-05-03,12,8
2026-05-04,19,12
2026-05-05,28,12
2026-05-06,16,11
2026-05-07,12,8
2026-05-08,12,8
2026-05-09,10,7
2026-05-10,12,8
2026-05-11,14,8
2026-05-12,15,7
2026-05-13,22,13
2026-05-14,13,9
2026-05-15,8,5
2026-05-16,10,7
2026-05-17,14,8
2026-05-18,10,7
2026-05-19,11,8
2026-05-20,12,9
2026-05-21,21,13
2026-05-22,21,13
2026-05-23,10,6
2026-05-24,15,11
2026-05-25,14,8
2026-05-26,13,9
2026-05-27,18,13
2026-05-28,12,8
2026-05-29,19,13
2026-05-30,8,7
2026-05-31,12,8
2026-06-03,7,6
2026-06-04,9,6
2026-06-05,14,10
2026-06-06,18,13
2026-06-07,13,9
2026-06-12,24,12
2026-06-13,32,15
2026-06-15,2,2
2026-06-16,21,14
2026-06-18,20,10
2026-06-19,46,19
2026-06-20,35,15
2026-06-21,15,10
2026-06-22,24,12
2026-06-23,14,11
2026-06-24,12,9
2026-06-25,14,11
2026-06-26,16,11
2026-06-27,18,9
2026-06-28,13,9
2026-06-29,15,11
2026-06-30,12,9
2026-07-01,10,9
2026-07-02,23,14
2026-07-03,19,14
2026-07-04,14,10
2026-07-05,13,9
2026-07-06,18,11
2026-07-07,13,9
2026-07-08,14,11
2026-07-09,6,6
2026-07-10,10,7
2026-07-11,16,12
2026-07-12,4,4
2026-07-13,5,5
2026-07-14,10,7
2026-07-15,13,10
2026-07-16,13,9
2026-07-17,13,9
2026-07-18,9,6
2026-07-19,6,6
2026-07-20,8,7
2026-07-21,12,8
2026-07-22,10,9
2026-07-23,8,5
2026-07-24,4,4
2026-07-25,12,8
2026-07-26,19,11
2026-07-27,10,7
2026-07-28,17,13
2026-07-29,6,6
