date,count,uniques
2026-03-18,1,1
2026-03-19,1,1
2026-03-20,3,3
2026-03-21,5,3
2026-03-22,0,0
2026-03-23,1,1
2026-03-24,1,1
2026-03-25,0,0
2026-03-26,0,0
2026-03-27,0,0
2026-03-28,3,3
2026-03-29,1,1
2026-03-30,1,1
2026-03-31,1,1
2026-04-01,1,1
2026-04-02,1,1
2026-04-03,0,0
2026-04-04,3,3
2026-04-05,0,0
2026-04-06,0,0
2026-04-07,4,4
2026-04-08,202,45
2026-04-09,5,5
2026-04-10,3,3
2026-04-11,245,66
2026-04-12,13,13
2026-04-13,5,5
2026-04-14,52,13
2026-04-15,8,7
2026-04-16,6,6
2026-04-17,2,2
2026-04-18,1,1
2026-04-19,1,1
2026-04-20,3,3
2026-04-21,2,2
2026-04-22,52,23
2026-04-23,57,26
2026-04-24,9,6
2026-04-26,1,1
2026-04-27,1,1
2026-04-29,0,0
2026-04-30,22,6
2026-05-01,21,7
2026-05-02,5,1
2026-05-03,3,2
2026-05-04,2,2
2026-05-05,1,1
2026-05-06,1,1
2026-05-07,0,0
2026-05-08,2,1
2026-05-09,3,2
2026-05-10,3,2
2026-05-11,2,1
2026-05-12,0,0
2026-05-13,5,3
2026-05-14,0,0
2026-05-15,3,3
2026-05-16,0,0
2026-05-17,1,1
2026-05-18,4,4
2026-05-19,1,1
2026-05-20,1,1
2026-05-21,2,2
2026-05-22,3,3
2026-05-23,8,4
2026-05-24,0,0
2026-05-25,2,2
2026-05-26,2,1
2026-05-27,0,0
2026-05-28,0,0
2026-05-29,1,1
2026-05-30,1,1
2026-05-31,0,0
2026-06-03,0,0
2026-06-04,5,5
2026-06-05,2,2
2026-06-06,0,0
2026-06-07,1,1
2026-06-12,0,0
2026-06-13,2,2
2026-06-15,2,2
2026-06-16,2,2
2026-06-18,2,2
2026-06-19,0,0
2026-06-20,0,0
2026-06-21,4,3
2026-06-22,1,1
2026-06-23,2,2
2026-06-24,39,12
2026-06-25,3,3
2026-06-26,1,1
2026-06-27,1,1
2026-06-28,1,1
2026-06-29,3,3
2026-06-30,0,0
2026-07-01,0,0
2026-07-02,0,0
2026-07-03,1,1
2026-07-04,3,3
2026-07-05,0,0
2026-07-06,3,3
2026-07-07,1,1
2026-07-08,2,2
2026-07-09,0,0
2026-07-10,2,2
2026-07-11,0,0
2026-07-12,2,1
2026-07-13,1,1
