date,count,uniques
2026-03-18,2,2
2026-03-19,3,3
2026-03-20,3,3
2026-03-21,1,1
2026-03-22,0,0
2026-03-23,4,4
2026-03-24,1,1
2026-03-25,0,0
2026-03-26,0,0
2026-03-27,0,0
2026-03-28,0,0
2026-03-29,4,4
2026-03-30,2,2
2026-03-31,0,0
2026-04-01,1,1
2026-04-02,3,3
2026-04-03,0,0
2026-04-04,0,0
2026-04-05,1,1
2026-04-06,0,0
2026-04-07,1,1
2026-04-08,1,1
2026-04-09,1,1
2026-04-10,3,1
2026-04-11,1,1
2026-04-12,4,4
2026-04-13,0,0
2026-04-14,2,2
2026-04-15,1,1
2026-04-16,1,1
2026-04-17,0,0
2026-04-18,1,1
2026-04-19,0,0
2026-04-20,1,1
2026-04-21,0,0
