date,count,uniques
2026-05-03,1,1
2026-05-04,3,3
2026-05-05,0,0
2026-05-06,0,0
2026-05-07,0,0
2026-05-08,0,0
2026-05-09,1,1
2026-05-10,0,0
2026-05-11,0,0
2026-05-12,0,0
2026-05-13,2,2
2026-05-14,2,2
2026-05-15,0,0
2026-05-16,0,0
2026-05-17,1,1
2026-05-18,1,1
2026-05-19,1,1
2026-05-20,0,0
2026-05-21,0,0
2026-05-22,0,0
2026-05-23,0,0
2026-05-24,0,0
2026-05-25,0,0
2026-05-26,0,0
2026-05-27,0,0
2026-05-28,1,1
2026-05-29,0,0
2026-05-30,0,0
2026-05-31,0,0
2026-06-03,0,0
2026-06-04,2,2
2026-06-05,0,0
2026-06-06,1,1
2026-06-07,0,0
2026-06-12,1,1
2026-06-13,0,0
2026-06-15,0,0
2026-06-16,1,1
2026-06-18,1,1
2026-06-19,0,0
2026-06-20,1,1
2026-06-21,3,1
2026-06-22,1,1
2026-06-23,0,0
2026-06-24,2,2
2026-06-25,16,4
2026-06-26,0,0
