date,count,uniques
2026-03-18,20,6
2026-03-19,43,26
2026-03-20,38,22
2026-03-21,22,9
2026-03-22,19,8
2026-03-23,17,6
2026-03-24,25,12
2026-03-25,20,7
2026-03-26,39,24
2026-03-27,28,15
2026-03-28,25,12
2026-03-29,25,12
2026-03-30,125,22
2026-03-31,26,12
2026-04-01,91,47
2026-04-02,24,13
2026-04-03,16,5
2026-04-04,17,5
2026-04-05,22,11
2026-04-06,19,8
2026-04-07,26,9
2026-04-08,33,16
2026-04-09,27,9
2026-04-10,156,62
2026-04-11,56,32
2026-04-12,39,17
2026-04-13,53,34
2026-04-14,22,11
2026-04-15,28,14
2026-04-16,29,15
2026-04-17,15,4
2026-04-18,28,14
2026-04-19,27,8
2026-04-20,24,10
2026-04-21,25,13
2026-04-22,150,61
2026-04-23,40,16
