date,path_1,path_1_count,path_1_uniques,path_2,path_2_count,path_2_uniques,path_3,path_3_count,path_3_uniques,path_4,path_4_count,path_4_uniques,path_5,path_5_count,path_5_uniques,path_6,path_6_count,path_6_uniques,path_7,path_7_count,path_7_uniques,path_8,path_8_count,path_8_uniques,path_9,path_9_count,path_9_uniques,path_10,path_10_count,path_10_uniques
2026-04-10,/Chocapikk/NmapWeb-Choca,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-11,/Chocapikk/NmapWeb-Choca,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-12,/Chocapikk/NmapWeb-Choca,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,/Chocapikk/NmapWeb-Choca,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-14,/Chocapikk/NmapWeb-Choca,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-15,/Chocapikk/NmapWeb-Choca,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-16,/Chocapikk/NmapWeb-Choca,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-17,/Chocapikk/NmapWeb-Choca,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-18,/Chocapikk/NmapWeb-Choca,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-19,/Chocapikk/NmapWeb-Choca,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-20,/Chocapikk/NmapWeb-Choca,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-21,/Chocapikk/NmapWeb-Choca,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-22,/Chocapikk/NmapWeb-Choca,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-23,/Chocapikk/NmapWeb-Choca,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-24,/Chocapikk/NmapWeb-Choca,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-25,/Chocapikk/NmapWeb-Choca,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-26,/Chocapikk/NmapWeb-Choca,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
