date,path_1,path_1_count,path_1_uniques,path_2,path_2_count,path_2_uniques,path_3,path_3_count,path_3_uniques,path_4,path_4_count,path_4_uniques,path_5,path_5_count,path_5_uniques,path_6,path_6_count,path_6_uniques,path_7,path_7_count,path_7_uniques,path_8,path_8_count,path_8_uniques,path_9,path_9_count,path_9_uniques,path_10,path_10_count,path_10_uniques
2026-05-04,/Chocapikk/reconlite,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,/Chocapikk/reconlite,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06,/Chocapikk/reconlite,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,/Chocapikk/reconlite,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,/Chocapikk/reconlite,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-09,/Chocapikk/reconlite,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10,/Chocapikk/reconlite,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11,/Chocapikk/reconlite,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-12,/Chocapikk/reconlite,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-13,/Chocapikk/reconlite,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-14,/Chocapikk/reconlite,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-15,/Chocapikk/reconlite,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-16,/Chocapikk/reconlite,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17,/Chocapikk/reconlite,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18,/Chocapikk/reconlite,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-19,/Chocapikk/reconlite,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-20,/Chocapikk/reconlite,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-21,/Chocapikk/reconlite,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-22,/Chocapikk/reconlite,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-23,/Chocapikk/reconlite,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-24,/Chocapikk/reconlite,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-25,/Chocapikk/reconlite,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-26,/Chocapikk/reconlite,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-27,/Chocapikk/reconlite,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-28,/Chocapikk/reconlite,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-29,/Chocapikk/reconlite,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-30,/Chocapikk/reconlite,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-31,/Chocapikk/reconlite,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-04,/Chocapikk/reconlite,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-05,/Chocapikk/reconlite,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-06,/Chocapikk/reconlite,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-07,/Chocapikk/reconlite,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-08,/Chocapikk/reconlite,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-09,/Chocapikk/reconlite,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-10,/Chocapikk/reconlite,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,/Chocapikk/reconlite,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-13,/Chocapikk/reconlite,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-13,/Chocapikk/reconlite,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-14,/Chocapikk/reconlite,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-16,/Chocapikk/reconlite,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-16,/Chocapikk/reconlite,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-17,/Chocapikk/reconlite,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-19,/Chocapikk/reconlite,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-19,/Chocapikk/reconlite,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-20,/Chocapikk/reconlite,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-21,/Chocapikk/reconlite,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-22,/Chocapikk/reconlite,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
