date,ref_1,ref_1_count,ref_1_uniques,ref_2,ref_2_count,ref_2_uniques,ref_3,ref_3_count,ref_3_uniques,ref_4,ref_4_count,ref_4_uniques,ref_5,ref_5_count,ref_5_uniques,ref_6,ref_6_count,ref_6_uniques,ref_7,ref_7_count,ref_7_uniques,ref_8,ref_8_count,ref_8_uniques,ref_9,ref_9_count,ref_9_uniques,ref_10,ref_10_count,ref_10_uniques
2026-03-19,Google,24,19,github.com,16,12,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-19,Google,23,18,github.com,17,10,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-20,github.com,18,10,Google,17,14,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21,Google,18,15,github.com,18,10,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-22,Google,18,15,github.com,16,8,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-23,Google,17,14,github.com,16,8,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-24,github.com,15,7,Google,13,11,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-25,github.com,14,7,Google,10,9,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,github.com,17,10,Google,14,13,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-27,Google,14,13,github.com,14,9,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-28,Google,13,12,github.com,13,8,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-29,Google,13,12,github.com,13,8,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-30,github.com,13,8,Google,12,11,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-31,github.com,13,8,Google,10,9,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01,github.com,14,9,Google,10,10,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-02,github.com,13,9,Google,12,12,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-03,Google,12,12,github.com,11,9,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-04,Google,11,11,github.com,10,8,,,,,,,,,,,,,,,,,,,,,,,,
