date,ref_1,ref_1_count,ref_1_uniques,ref_2,ref_2_count,ref_2_uniques,ref_3,ref_3_count,ref_3_uniques,ref_4,ref_4_count,ref_4_uniques,ref_5,ref_5_count,ref_5_uniques,ref_6,ref_6_count,ref_6_uniques,ref_7,ref_7_count,ref_7_uniques,ref_8,ref_8_count,ref_8_uniques,ref_9,ref_9_count,ref_9_uniques,ref_10,ref_10_count,ref_10_uniques
2026-03-19,Google,21,18,github.com,8,4,docs.leakix.net,1,1,search.brave.com,1,1,,,,,,,,,,,,,,,,,,
2026-03-19,Google,20,17,leakpy.readthedocs.io,8,1,github.com,5,4,docs.leakix.net,2,2,search.brave.com,1,1,,,,,,,,,,,,,,,
2026-03-20,Google,18,16,leakpy.readthedocs.io,8,1,github.com,6,5,docs.leakix.net,2,2,search.brave.com,1,1,,,,,,,,,,,,,,,
2026-03-21,Google,17,15,leakpy.readthedocs.io,8,1,github.com,6,5,docs.leakix.net,2,2,search.brave.com,1,1,,,,,,,,,,,,,,,
2026-03-22,Google,17,15,leakpy.readthedocs.io,8,1,github.com,6,5,docs.leakix.net,2,2,search.brave.com,1,1,,,,,,,,,,,,,,,
2026-03-23,Google,17,15,leakpy.readthedocs.io,8,1,github.com,6,5,docs.leakix.net,2,2,search.brave.com,1,1,,,,,,,,,,,,,,,
2026-03-24,Google,16,14,leakpy.readthedocs.io,8,1,github.com,4,4,docs.leakix.net,2,2,search.brave.com,1,1,,,,,,,,,,,,,,,
2026-03-25,Google,16,14,leakpy.readthedocs.io,8,1,github.com,3,3,docs.leakix.net,2,2,search.brave.com,1,1,,,,,,,,,,,,,,,
2026-03-26,Google,16,14,leakpy.readthedocs.io,8,1,github.com,3,3,docs.leakix.net,1,1,t.co,1,1,,,,,,,,,,,,,,,
2026-03-27,Google,18,15,leakpy.readthedocs.io,8,1,github.com,3,3,docs.leakix.net,2,2,t.co,1,1,,,,,,,,,,,,,,,
2026-03-28,Google,16,14,leakpy.readthedocs.io,8,1,github.com,3,3,docs.leakix.net,2,2,t.co,1,1,,,,,,,,,,,,,,,
2026-03-29,Google,16,14,leakpy.readthedocs.io,8,1,github.com,3,3,docs.leakix.net,2,2,t.co,1,1,,,,,,,,,,,,,,,
2026-03-30,Google,14,12,leakpy.readthedocs.io,8,1,github.com,3,3,docs.leakix.net,2,2,t.co,1,1,,,,,,,,,,,,,,,
2026-03-31,Google,15,12,leakpy.readthedocs.io,8,1,github.com,3,3,docs.leakix.net,2,2,t.co,1,1,,,,,,,,,,,,,,,
2026-04-01,Google,16,13,leakpy.readthedocs.io,8,1,github.com,3,3,docs.leakix.net,2,2,t.co,1,1,,,,,,,,,,,,,,,
2026-04-02,Google,17,14,github.com,2,2,docs.leakix.net,1,1,t.co,1,1,,,,,,,,,,,,,,,,,,
2026-04-03,Google,22,14,docs.leakix.net,1,1,github.com,1,1,t.co,1,1,,,,,,,,,,,,,,,,,,
2026-04-04,Google,22,14,docs.leakix.net,1,1,github.com,1,1,t.co,1,1,,,,,,,,,,,,,,,,,,
2026-04-05,Google,23,15,docs.leakix.net,1,1,github.com,1,1,t.co,1,1,,,,,,,,,,,,,,,,,,
2026-04-06,Google,23,15,docs.leakix.net,1,1,github.com,1,1,t.co,1,1,,,,,,,,,,,,,,,,,,
2026-04-07,Google,21,13,docs.leakix.net,1,1,github.com,1,1,t.co,1,1,,,,,,,,,,,,,,,,,,
2026-04-08,Google,21,13,docs.leakix.net,1,1,github.com,1,1,t.co,1,1,,,,,,,,,,,,,,,,,,
2026-04-09,Google,20,12,docs.leakix.net,2,2,github.com,1,1,,,,,,,,,,,,,,,,,,,,,
2026-04-10,Google,17,10,docs.leakix.net,1,1,github.com,1,1,,,,,,,,,,,,,,,,,,,,,
2026-04-11,Google,19,11,github.com,3,2,docs.leakix.net,2,2,,,,,,,,,,,,,,,,,,,,,
2026-04-12,Google,19,11,github.com,3,2,docs.leakix.net,2,2,,,,,,,,,,,,,,,,,,,,,
2026-04-13,Google,22,12,github.com,3,2,docs.leakix.net,2,2,,,,,,,,,,,,,,,,,,,,,
2026-04-14,Google,17,9,docs.leakix.net,3,2,github.com,3,2,,,,,,,,,,,,,,,,,,,,,
2026-04-15,Google,16,8,docs.leakix.net,3,2,github.com,3,2,,,,,,,,,,,,,,,,,,,,,
2026-04-16,Google,16,8,docs.leakix.net,3,2,github.com,3,2,,,,,,,,,,,,,,,,,,,,,
2026-04-17,Google,10,7,docs.leakix.net,3,2,github.com,3,2,,,,,,,,,,,,,,,,,,,,,
2026-04-18,Google,10,7,docs.leakix.net,3,2,github.com,3,2,,,,,,,,,,,,,,,,,,,,,
2026-04-19,Google,10,6,docs.leakix.net,3,2,github.com,3,2,,,,,,,,,,,,,,,,,,,,,
2026-04-20,Google,16,7,docs.leakix.net,3,2,github.com,3,2,,,,,,,,,,,,,,,,,,,,,
2026-04-21,Google,16,7,docs.leakix.net,3,2,github.com,3,2,,,,,,,,,,,,,,,,,,,,,
2026-04-22,Google,16,7,docs.leakix.net,3,2,github.com,3,2,,,,,,,,,,,,,,,,,,,,,
2026-04-23,Google,16,7,github.com,3,2,docs.leakix.net,2,1,t.co,1,1,,,,,,,,,,,,,,,,,,
2026-04-24,Google,16,7,github.com,3,2,docs.leakix.net,2,1,t.co,1,1,,,,,,,,,,,,,,,,,,
2026-04-25,Google,18,10,docs.leakix.net,1,1,github.com,1,1,t.co,1,1,,,,,,,,,,,,,,,,,,
