date,ref_1,ref_1_count,ref_1_uniques,ref_2,ref_2_count,ref_2_uniques,ref_3,ref_3_count,ref_3_uniques,ref_4,ref_4_count,ref_4_uniques,ref_5,ref_5_count,ref_5_uniques,ref_6,ref_6_count,ref_6_uniques,ref_7,ref_7_count,ref_7_uniques,ref_8,ref_8_count,ref_8_uniques,ref_9,ref_9_count,ref_9_uniques,ref_10,ref_10_count,ref_10_uniques
2026-03-19,Google,175,86,github.com,4,3,search.brave.com,2,2,,,,,,,,,,,,,,,,,,,,,
2026-03-19,Google,177,86,github.com,4,3,search.brave.com,1,1,,,,,,,,,,,,,,,,,,,,,
2026-03-20,Google,178,90,github.com,3,2,search.brave.com,1,1,,,,,,,,,,,,,,,,,,,,,
2026-03-21,Google,162,92,github.com,2,2,search.brave.com,1,1,,,,,,,,,,,,,,,,,,,,,
2026-03-22,Google,180,104,github.com,2,2,search.brave.com,1,1,,,,,,,,,,,,,,,,,,,,,
2026-03-23,Google,194,117,github.com,8,2,search.brave.com,1,1,,,,,,,,,,,,,,,,,,,,,
2026-03-24,Google,214,131,github.com,8,2,search.brave.com,1,1,,,,,,,,,,,,,,,,,,,,,
2026-03-25,Google,244,144,github.com,8,2,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Google,265,155,github.com,9,3,l.instagram.com,1,1,,,,,,,,,,,,,,,,,,,,,
2026-03-27,Google,272,160,github.com,9,3,l.instagram.com,1,1,,,,,,,,,,,,,,,,,,,,,
2026-03-28,Google,278,163,github.com,10,4,l.instagram.com,1,1,,,,,,,,,,,,,,,,,,,,,
2026-03-29,Google,280,165,github.com,10,4,l.instagram.com,1,1,,,,,,,,,,,,,,,,,,,,,
2026-03-30,Google,283,171,github.com,10,4,Bing,2,1,l.instagram.com,1,1,,,,,,,,,,,,,,,,,,
2026-03-31,Google,274,173,github.com,9,3,Bing,2,1,l.instagram.com,1,1,,,,,,,,,,,,,,,,,,
2026-04-01,Google,289,181,github.com,10,4,Bing,2,1,l.instagram.com,1,1,search.brave.com,1,1,,,,,,,,,,,,,,,
2026-04-02,Google,294,183,github.com,10,4,Bing,2,1,l.instagram.com,1,1,search.brave.com,1,1,,,,,,,,,,,,,,,
2026-04-03,Google,303,189,github.com,10,4,search.brave.com,2,2,Bing,2,1,l.instagram.com,1,1,,,,,,,,,,,,,,,
2026-04-04,Google,311,192,github.com,10,4,search.brave.com,4,3,Bing,2,1,Yahoo,1,1,l.instagram.com,1,1,,,,,,,,,,,,
2026-04-05,Google,299,189,github.com,10,4,search.brave.com,4,3,Bing,2,1,Yahoo,1,1,l.instagram.com,1,1,,,,,,,,,,,,
2026-04-06,Google,304,191,github.com,7,5,search.brave.com,5,4,Bing,2,1,Yahoo,1,1,l.instagram.com,1,1,,,,,,,,,,,,
2026-04-07,Google,299,184,github.com,7,5,search.brave.com,5,4,Bing,2,1,Yahoo,1,1,l.instagram.com,1,1,,,,,,,,,,,,
2026-04-08,Google,278,176,github.com,7,5,search.brave.com,6,5,Bing,2,1,Yahoo,1,1,l.instagram.com,1,1,,,,,,,,,,,,
