date,ref_1,ref_1_count,ref_1_uniques,ref_2,ref_2_count,ref_2_uniques,ref_3,ref_3_count,ref_3_uniques,ref_4,ref_4_count,ref_4_uniques,ref_5,ref_5_count,ref_5_uniques,ref_6,ref_6_count,ref_6_uniques,ref_7,ref_7_count,ref_7_uniques,ref_8,ref_8_count,ref_8_uniques,ref_9,ref_9_count,ref_9_uniques,ref_10,ref_10_count,ref_10_uniques
2026-04-14,github.com,19,2,chocapikk.com,8,2,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-15,github.com,52,2,t.co,11,4,chocapikk.com,8,2,instagram.com,1,1,,,,,,,,,,,,,,,,,,
2026-04-16,github.com,68,4,t.co,26,16,chocapikk.com,10,4,instagram.com,1,1,,,,,,,,,,,,,,,,,,
2026-04-17,github.com,71,7,t.co,35,22,chocapikk.com,10,4,instagram.com,1,1,,,,,,,,,,,,,,,,,,
2026-04-18,github.com,75,7,t.co,36,22,chocapikk.com,10,4,instagram.com,1,1,,,,,,,,,,,,,,,,,,
2026-04-19,github.com,75,7,t.co,36,22,chocapikk.com,11,5,instagram.com,1,1,,,,,,,,,,,,,,,,,,
2026-04-20,github.com,77,9,t.co,36,22,chocapikk.com,11,5,instagram.com,1,1,,,,,,,,,,,,,,,,,,
2026-04-21,github.com,78,9,t.co,36,22,chocapikk.com,11,5,instagram.com,1,1,,,,,,,,,,,,,,,,,,
2026-04-22,github.com,78,9,t.co,36,22,chocapikk.com,12,6,instagram.com,1,1,,,,,,,,,,,,,,,,,,
2026-04-23,github.com,78,9,t.co,40,22,chocapikk.com,12,6,instagram.com,1,1,,,,,,,,,,,,,,,,,,
2026-04-24,github.com,80,9,t.co,40,22,chocapikk.com,12,6,instagram.com,1,1,,,,,,,,,,,,,,,,,,
2026-04-25,github.com,80,9,t.co,40,22,chocapikk.com,12,6,instagram.com,1,1,,,,,,,,,,,,,,,,,,
2026-04-26,github.com,80,9,t.co,40,22,chocapikk.com,12,6,instagram.com,1,1,,,,,,,,,,,,,,,,,,
2026-04-27,github.com,80,9,t.co,40,22,chocapikk.com,12,6,instagram.com,1,1,,,,,,,,,,,,,,,,,,
2026-04-28,github.com,61,8,t.co,40,22,chocapikk.com,4,4,instagram.com,1,1,,,,,,,,,,,,,,,,,,
2026-04-29,github.com,61,8,t.co,40,22,chocapikk.com,4,4,instagram.com,1,1,,,,,,,,,,,,,,,,,,
2026-04-30,github.com,15,9,t.co,15,8,chocapikk.com,2,2,Google,1,1,,,,,,,,,,,,,,,,,,
2026-05-01,github.com,12,6,t.co,6,2,chocapikk.com,2,2,Google,1,1,,,,,,,,,,,,,,,,,,
2026-05-02,github.com,8,6,t.co,5,2,chocapikk.com,2,2,Google,1,1,,,,,,,,,,,,,,,,,,
2026-05-03,github.com,8,6,t.co,5,2,Google,3,3,chocapikk.com,1,1,,,,,,,,,,,,,,,,,,
