date,ref_1,ref_1_count,ref_1_uniques,ref_2,ref_2_count,ref_2_uniques,ref_3,ref_3_count,ref_3_uniques,ref_4,ref_4_count,ref_4_uniques,ref_5,ref_5_count,ref_5_uniques,ref_6,ref_6_count,ref_6_uniques,ref_7,ref_7_count,ref_7_uniques,ref_8,ref_8_count,ref_8_uniques,ref_9,ref_9_count,ref_9_uniques,ref_10,ref_10_count,ref_10_uniques
2026-03-19,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-19,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-20,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-22,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-23,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-24,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18,github.com,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-19,github.com,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-20,github.com,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-21,github.com,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-22,Google,2,1,github.com,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-23,Google,2,1,github.com,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-24,Google,2,1,github.com,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-25,Google,2,1,github.com,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-26,Google,2,1,github.com,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-27,Google,2,1,github.com,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-28,Google,2,1,github.com,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-29,Google,2,1,github.com,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-30,Google,2,1,github.com,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-31,Google,2,1,github.com,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-01,Google,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-03,Google,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-04,Google,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-04,Google,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-19,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-19,Google,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-20,Google,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-21,Google,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-22,Google,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-23,Google,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-24,Google,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-25,Google,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-26,Google,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-27,Google,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-28,Google,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-29,Google,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-30,Google,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,Google,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-02,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-16,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-17,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-18,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-19,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
