date,ref_1,ref_1_count,ref_1_uniques,ref_2,ref_2_count,ref_2_uniques,ref_3,ref_3_count,ref_3_uniques,ref_4,ref_4_count,ref_4_uniques,ref_5,ref_5_count,ref_5_uniques,ref_6,ref_6_count,ref_6_uniques,ref_7,ref_7_count,ref_7_uniques,ref_8,ref_8_count,ref_8_uniques,ref_9,ref_9_count,ref_9_uniques,ref_10,ref_10_count,ref_10_uniques
2026-04-27,github.com,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-28,github.com,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-29,github.com,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-30,github.com,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-01,github.com,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-02,github.com,20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-03,github.com,20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-04,github.com,22,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,github.com,30,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06,github.com,30,7,Google,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,github.com,30,7,Google,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,github.com,31,7,Google,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-09,github.com,31,7,Google,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10,github.com,31,7,Google,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11,github.com,23,7,Google,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-12,github.com,17,5,Google,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-13,github.com,15,5,Google,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-14,github.com,15,5,Google,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-15,github.com,15,5,Google,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-16,github.com,11,4,Google,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17,github.com,11,4,Google,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18,github.com,12,4,Google,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-19,github.com,4,2,Google,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-20,github.com,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
