date,ref_1,ref_1_count,ref_1_uniques,ref_2,ref_2_count,ref_2_uniques,ref_3,ref_3_count,ref_3_uniques,ref_4,ref_4_count,ref_4_uniques,ref_5,ref_5_count,ref_5_uniques,ref_6,ref_6_count,ref_6_uniques,ref_7,ref_7_count,ref_7_uniques,ref_8,ref_8_count,ref_8_uniques,ref_9,ref_9_count,ref_9_uniques,ref_10,ref_10_count,ref_10_uniques
2026-03-19,github.com,72,18,l.instagram.com,23,7,instagram.com,1,1,,,,,,,,,,,,,,,,,,,,,
2026-03-19,github.com,62,16,l.instagram.com,23,7,instagram.com,1,1,,,,,,,,,,,,,,,,,,,,,
2026-03-20,github.com,54,13,l.instagram.com,23,7,instagram.com,1,1,,,,,,,,,,,,,,,,,,,,,
2026-03-21,github.com,47,12,l.instagram.com,23,7,instagram.com,1,1,,,,,,,,,,,,,,,,,,,,,
2026-03-22,github.com,44,12,l.instagram.com,23,7,instagram.com,1,1,,,,,,,,,,,,,,,,,,,,,
2026-03-23,github.com,41,12,l.instagram.com,23,7,instagram.com,1,1,,,,,,,,,,,,,,,,,,,,,
2026-03-24,github.com,34,11,instagram.com,1,1,l.instagram.com,1,1,,,,,,,,,,,,,,,,,,,,,
2026-03-25,github.com,31,8,instagram.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,github.com,33,9,instagram.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-27,github.com,24,10,instagram.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-28,github.com,30,10,instagram.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-29,github.com,32,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-30,github.com,31,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-31,github.com,34,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01,github.com,39,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-02,github.com,40,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-03,github.com,36,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-04,github.com,27,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-05,github.com,29,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-06,github.com,30,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07,github.com,29,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-08,github.com,28,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-09,github.com,25,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-10,github.com,25,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
