date,count,uniques
2026-03-18,0,0
2026-03-19,2,2
2026-03-20,1,1
2026-03-21,0,0
2026-03-22,2,2
2026-03-23,0,0
2026-03-24,3,3
2026-03-25,8,1
2026-03-26,1,1
2026-03-27,1,1
2026-03-28,1,1
2026-03-29,1,1
2026-03-30,1,1
2026-03-31,3,3
2026-04-01,0,0
2026-04-02,0,0
2026-04-03,0,0
2026-04-04,1,1
2026-04-05,1,1
2026-04-06,0,0
2026-04-07,5,4
2026-04-08,2,2
2026-04-09,0,0
2026-04-10,2,2
2026-04-11,4,2
2026-04-12,1,1
2026-04-13,3,2
2026-04-14,4,2
2026-04-15,1,1
2026-04-16,2,1
2026-04-17,4,2
2026-04-18,6,2
2026-04-19,4,2
2026-04-20,0,0
2026-04-21,2,1
2026-04-22,3,2
