date,count,uniques
2026-03-18,11,4
2026-03-19,2,2
2026-03-20,4,2
2026-03-21,0,0
2026-03-22,0,0
2026-03-23,5,4
2026-03-24,1,1
2026-03-25,2,2
2026-03-26,4,3
2026-03-27,1,1
2026-03-28,0,0
2026-03-29,1,1
2026-03-30,6,4
2026-03-31,1,1
2026-04-01,1,1
2026-04-02,10,1
2026-04-03,1,1
2026-04-04,1,1
2026-04-05,0,0
2026-04-06,2,2
2026-04-07,1,1
2026-04-08,2,2
2026-04-09,3,1
2026-04-10,6,4
2026-04-11,2,1
2026-04-12,5,3
2026-04-13,1,1
2026-04-14,0,0
2026-04-15,1,1
2026-04-16,0,0
2026-04-17,1,1
