date,count,uniques
2026-04-06,0,0
2026-04-07,287,184
2026-04-08,361,215
2026-04-09,99,57
2026-04-10,61,33
2026-04-11,11,11
2026-04-12,11,11
2026-04-13,39,24
2026-04-14,58,41
2026-04-15,36,20
2026-04-16,37,13
2026-04-17,74,13
2026-04-18,11,9
2026-04-19,44,17
2026-04-20,41,10
2026-04-21,14,10
2026-04-22,15,10
2026-04-23,14,10
2026-04-24,13,10
2026-04-26,14,8
2026-04-27,22,12
2026-04-29,19,8
2026-04-30,10,7
2026-05-01,24,8
2026-05-02,3,3
2026-05-03,3,3
2026-05-04,11,7
2026-05-05,3,2
2026-05-06,11,6
2026-05-07,16,11
2026-05-08,0,0
2026-05-09,3,2
2026-05-10,7,3
2026-05-11,8,6
2026-05-12,7,6
2026-05-13,3,2
2026-05-14,5,4
2026-05-15,5,5
2026-05-16,3,3
2026-05-17,11,3
2026-05-18,4,3
2026-05-19,3,3
2026-05-20,0,0
2026-05-21,3,2
2026-05-22,6,4
2026-05-23,0,0
2026-05-24,2,2
2026-05-25,3,2
2026-05-26,7,4
2026-05-27,9,3
2026-05-28,5,3
2026-05-29,1,1
2026-05-30,5,4
2026-05-31,2,2
2026-06-03,6,4
2026-06-04,9,6
2026-06-05,5,4
2026-06-06,4,2
2026-06-07,6,4
2026-06-12,6,6
2026-06-13,2,2
2026-06-15,5,4
2026-06-16,2,2
2026-06-18,3,2
2026-06-19,8,6
2026-06-20,3,1
2026-06-21,6,5
2026-06-22,3,3
2026-06-23,2,2
2026-06-24,12,8
2026-06-25,3,3
2026-06-26,3,3
2026-06-27,24,4
2026-06-28,14,4
2026-06-29,7,4
2026-06-30,16,6
2026-07-01,7,4
2026-07-02,2,2
2026-07-03,4,4
2026-07-04,2,1
2026-07-05,2,1
2026-07-06,11,5
2026-07-07,8,5
2026-07-08,8,7
2026-07-09,2,2
2026-07-10,11,3
2026-07-11,0,0
2026-07-12,1,1
2026-07-13,1,1
2026-07-14,21,13
2026-07-15,3,3
2026-07-16,1,1
2026-07-17,3,2
2026-07-18,8,7
2026-07-19,3,3
2026-07-20,5,5
2026-07-21,21,8
