date,count,uniques
2026-04-12,0,0
2026-04-13,66,3
2026-04-14,62,8
2026-04-15,44,21
2026-04-16,16,13
2026-04-17,5,2
2026-04-18,3,3
2026-04-19,2,2
2026-04-20,2,2
2026-04-21,4,3
2026-04-22,4,1
2026-04-23,2,1
2026-04-24,0,0
2026-04-26,0,0
2026-04-27,1,1
2026-04-29,1,1
2026-04-30,0,0
2026-05-01,2,1
2026-05-02,2,2
2026-05-03,4,2
2026-05-04,9,4
2026-05-05,5,3
2026-05-06,4,3
2026-05-07,3,2
2026-05-08,4,4
2026-05-09,6,4
2026-05-10,5,3
2026-05-11,1,1
2026-05-12,8,6
2026-05-13,3,3
2026-05-14,3,2
