date,count,uniques
2026-04-26,10,2
2026-04-27,9,4
2026-04-29,0,0
2026-04-30,0,0
2026-05-01,4,2
2026-05-02,6,1
2026-05-03,2,1
2026-05-04,8,2
2026-05-05,2,1
2026-05-06,0,0
2026-05-07,1,1
2026-05-08,0,0
2026-05-09,0,0
2026-05-10,2,1
2026-05-11,0,0
2026-05-12,0,0
2026-05-13,0,0
2026-05-14,0,0
2026-05-15,0,0
2026-05-16,0,0
2026-05-17,3,2
2026-05-18,0,0
2026-05-19,0,0
2026-05-20,1,1
2026-05-21,2,1
2026-05-22,0,0
2026-05-23,2,1
2026-05-24,1,1
2026-05-25,1,1
2026-05-26,2,1
2026-05-27,0,0
2026-05-28,0,0
2026-05-29,2,2
2026-05-30,0,0
2026-05-31,0,0
2026-06-03,0,0
2026-06-04,1,1
2026-06-05,1,1
2026-06-06,0,0
2026-06-07,1,1
2026-06-12,0,0
