date,count,uniques
2026-03-18,2,2
2026-03-19,0,0
2026-03-20,0,0
2026-03-21,0,0
2026-03-22,2,2
2026-03-23,1,1
2026-03-24,3,3
2026-03-25,2,2
2026-03-26,0,0
2026-03-27,1,1
2026-03-28,4,4
2026-03-29,0,0
2026-03-30,3,3
2026-03-31,4,2
2026-04-01,3,3
2026-04-02,2,2
2026-04-03,19,7
2026-04-04,0,0
2026-04-05,0,0
2026-04-06,4,1
2026-04-07,40,23
2026-04-08,66,14
2026-04-09,13,8
2026-04-10,12,6
2026-04-11,47,7
2026-04-12,8,3
2026-04-13,5,2
2026-04-14,6,2
2026-04-15,8,4
2026-04-16,0,0
2026-04-17,5,2
2026-04-18,1,1
2026-04-19,0,0
2026-04-20,0,0
2026-04-21,1,1
2026-04-22,3,3
2026-04-23,3,3
2026-04-24,1,1
2026-04-26,1,1
2026-04-27,9,2
2026-04-29,2,2
2026-04-30,1,1
2026-05-01,1,1
2026-05-02,0,0
2026-05-03,3,3
2026-05-04,11,2
2026-05-05,2,2
2026-05-06,0,0
2026-05-07,3,3
2026-05-08,1,1
2026-05-09,4,1
2026-05-10,1,1
2026-05-11,1,1
2026-05-12,9,2
2026-05-13,6,2
2026-05-14,0,0
2026-05-15,1,1
2026-05-16,2,1
2026-05-17,1,1
2026-05-18,1,1
2026-05-19,0,0
2026-05-20,0,0
2026-05-21,8,2
2026-05-22,4,2
2026-05-23,6,1
2026-05-24,3,1
2026-05-25,25,2
2026-05-26,8,4
2026-05-27,0,0
2026-05-28,0,0
2026-05-29,0,0
2026-05-30,6,1
2026-05-31,0,0
2026-06-03,0,0
2026-06-04,0,0
2026-06-05,2,2
2026-06-06,2,1
2026-06-07,2,2
2026-06-12,8,5
2026-06-13,1,1
2026-06-15,0,0
2026-06-16,1,1
2026-06-18,2,2
2026-06-19,0,0
2026-06-20,2,2
2026-06-21,1,1
