date,count,uniques
2026-03-18,4,3
2026-03-19,4,3
2026-03-20,25,3
2026-03-21,1,1
2026-03-22,1,1
2026-03-23,3,2
2026-03-24,1,1
2026-03-25,5,5
2026-03-26,2,2
2026-03-27,8,3
2026-03-28,2,2
2026-03-29,1,1
2026-03-30,4,1
2026-03-31,7,4
2026-04-01,1,1
2026-04-02,1,1
2026-04-03,2,2
2026-04-04,4,3
2026-04-05,4,4
2026-04-06,1,1
2026-04-07,1,1
2026-04-08,3,3
2026-04-09,2,2
2026-04-10,1,1
2026-04-11,0,0
2026-04-12,1,1
2026-04-13,0,0
2026-04-14,5,1
2026-04-15,0,0
2026-04-16,4,3
2026-04-17,3,2
2026-04-18,2,1
2026-04-19,4,2
2026-04-20,0,0
2026-04-21,10,1
2026-04-22,2,2
2026-04-23,1,1
2026-04-24,1,1
2026-04-26,0,0
2026-04-27,0,0
2026-04-29,1,1
