date,count,uniques
2026-03-18,53,30
2026-03-19,105,30
2026-03-20,67,34
2026-03-21,27,20
2026-03-22,66,32
2026-03-23,25,19
2026-03-24,60,40
2026-03-25,134,92
2026-03-26,123,81
2026-03-27,152,72
2026-03-28,89,50
2026-03-29,73,51
2026-03-30,116,77
2026-03-31,47,39
2026-04-01,91,52
2026-04-02,76,35
2026-04-03,63,43
2026-04-04,54,26
2026-04-05,57,29
2026-04-06,49,23
2026-04-07,52,40
2026-04-08,45,29
2026-04-09,39,29
2026-04-10,124,47
2026-04-11,58,25
2026-04-12,38,25
2026-04-13,66,46
2026-04-14,65,38
2026-04-15,86,32
2026-04-16,44,25
2026-04-17,37,23
2026-04-18,54,22
2026-04-19,54,34
2026-04-20,50,32
2026-04-21,58,40
2026-04-22,45,33
2026-04-23,55,28
2026-04-24,28,18
2026-04-26,28,20
2026-04-27,50,24
2026-04-29,29,23
2026-04-30,30,22
2026-05-01,25,21
